scenario_id,attacker,defender,att_avg_threat,att_avg_tech_gen,att_modern_pct,att_avg_stealth,att_avg_ew,att_fighter_count,att_sam_count,att_uav_count,att_military_budget,att_aircraft_count,att_zone,dfn_avg_threat,dfn_avg_tech_gen,dfn_modern_pct,dfn_avg_stealth,dfn_avg_ew,dfn_fighter_count,dfn_sam_count,dfn_uav_count,dfn_military_budget,dfn_aircraft_count,dfn_zone,threat_ratio,tech_ratio,number_ratio,budget_ratio,outcome,attacker_win_probability
NAV_0017,Japan,China,9.4,5.25,68.88,7.87,8.27,90,74,14,99.4,116,Maritime,7.75,4.41,69.83,7.71,8.97,26,41,17,126.46,89,Maritime,1.213,1.19,1.303,0.786,0,0.436
NAV_0018,China,USA,7.05,5.31,78.73,5.83,8.23,42,35,28,75.12,105,Maritime,9.42,4.13,88.2,4.35,7.57,46,25,18,261.13,31,Maritime,0.748,1.286,3.387,0.288,0,0.462
NAV_0019,USA,India,9.15,5.29,86.47,5.66,8.83,67,70,29,20.67,98,Maritime,8.54,4.69,64.54,5.23,9.05,92,73,34,265.01,93,Maritime,1.071,1.128,1.054,0.078,0,0.439
NAV_0020,France,USA,6.15,5.35,78.2,3.4,7.82,118,55,16,284.73,51,Maritime,7.07,5.43,89.9,6.55,8.51,89,44,42,23.35,82,Maritime,0.87,0.985,0.622,12.194,1,0.551
NAV_0021,UK,China,8.58,4.3,61.7,5.47,6.06,113,68,13,211.38,93,Maritime,9.44,4.14,89.39,8.21,7.07,114,26,39,211.15,94,Maritime,0.909,1.039,0.989,1.001,0,0.432
NAV_0022,France,Australia,8.47,5.12,89.03,5.52,8.25,49,60,31,91.82,12,Maritime,7.86,4.41,78.7,4.25,8.43,115,36,21,35.65,10,Maritime,1.078,1.161,1.2,2.576,0,0.458
NAV_0023,China,Japan,8.33,4.36,64.9,4.17,6.04,99,34,6,76.79,59,Maritime,8.11,4.88,80.69,5.02,9.27,115,40,42,237.51,48,Maritime,1.027,0.893,1.229,0.323,1,0.573
NAV_0024,France,China,8.79,4.67,84.14,3.83,7.97,64,15,34,73.43,15,Maritime,8.6,5.48,82.26,8.96,8.94,97,26,27,273.63,100,Maritime,1.022,0.852,0.15,0.268,0,0.401
NAV_0025,China,India,6.56,5.18,92.92,4.6,8.02,92,10,43,124.34,101,Maritime,8.31,4.79,80.32,6.45,7.67,33,20,24,106.27,49,Maritime,0.789,1.081,2.061,1.17,0,0.435
NAV_0026,Russia,China,6.82,4.81,72.2,5.05,9.14,106,63,5,152.88,63,Maritime,6.55,4.8,74.33,6.22,8.24,37,78,9,142.0,86,Maritime,1.041,1.002,0.733,1.077,0,0.479
NAV_0027,Japan,Australia,8.51,5.01,77.49,4.67,7.47,45,40,24,183.34,107,Maritime,7.21,4.97,70.68,7.61,6.71,21,12,30,149.77,108,Maritime,1.18,1.008,0.991,1.224,1,0.663
NAV_0028,Australia,France,7.3,4.92,76.85,4.82,6.73,51,65,37,115.37,53,Maritime,9.03,5.0,67.95,7.78,7.61,118,69,11,289.88,56,Maritime,0.808,0.984,0.946,0.398,0,0.429
NAV_0029,USA,Russia,7.24,4.15,86.7,8.53,6.32,34,38,44,45.18,39,Maritime,7.6,4.58,90.67,3.72,6.73,37,74,36,35.64,87,Maritime,0.953,0.906,0.448,1.268,1,0.664
NAV_0030,India,UK,9.01,5.33,79.38,8.64,8.69,73,68,32,196.74,99,Maritime,7.26,5.31,82.63,4.71,7.35,92,74,47,106.74,65,Maritime,1.241,1.004,1.523,1.843,1,0.613
NAV_0031,UK,China,8.38,5.47,94.57,3.48,7.88,90,55,34,196.28,48,Maritime,8.32,5.2,62.33,8.1,7.12,101,57,48,284.56,104,Maritime,1.007,1.052,0.462,0.69,1,0.683
NAV_0032,USA,India,8.12,5.38,64.31,8.9,7.17,66,15,12,161.86,56,Maritime,8.94,5.07,81.82,5.27,7.09,98,52,10,244.76,99,Maritime,0.908,1.061,0.566,0.661,1,0.589
NAV_0033,China,Australia,6.06,4.31,74.69,4.91,6.15,85,18,49,28.53,110,Maritime,7.49,4.96,65.3,8.87,8.01,32,39,16,187.43,108,Maritime,0.809,0.869,1.019,0.152,1,0.643
NAV_0034,France,India,6.58,5.01,71.64,5.29,7.42,70,57,12,194.12,95,Maritime,8.58,4.25,68.23,8.06,8.16,47,62,33,164.64,108,Maritime,0.767,1.179,0.88,1.179,0,0.341
NAV_0035,China,USA,6.6,5.01,78.08,6.11,8.61,119,56,30,32.08,26,Maritime,6.71,5.24,73.01,3.74,6.85,89,28,20,192.88,61,Maritime,0.984,0.956,0.426,0.166,1,0.616
NAV_0036,Australia,India,8.67,5.43,67.97,6.64,8.47,81,49,46,279.67,104,Maritime,8.53,4.71,80.58,3.43,7.58,114,40,28,204.19,107,Maritime,1.016,1.153,0.972,1.37,0,0.388
NAV_0037,UK,China,8.18,5.39,82.84,7.0,6.52,63,56,40,248.99,81,Maritime,8.55,4.83,94.5,3.35,8.78,51,25,36,52.76,46,Maritime,0.957,1.116,1.761,4.719,0,0.482
NAV_0038,France,Russia,7.55,4.29,88.76,8.35,8.66,55,64,46,262.75,38,Maritime,8.15,4.5,61.51,8.47,7.86,61,65,37,76.64,88,Maritime,0.926,0.953,0.432,3.428,0,0.478
NAV_0039,Russia,Australia,8.87,4.85,88.21,6.82,7.9,109,19,13,147.98,30,Maritime,8.22,4.2,92.81,7.89,8.04,81,10,5,152.73,12,Maritime,1.079,1.155,2.5,0.969,1,0.661
NAV_0040,Japan,UK,7.28,4.08,80.77,5.05,8.3,59,75,15,288.01,63,Maritime,6.22,4.08,73.93,3.59,9.21,63,71,13,164.05,17,Maritime,1.17,1.0,3.706,1.756,1,0.692
NAV_0041,India,France,8.2,5.04,69.66,6.12,8.83,104,25,43,75.64,63,Maritime,8.61,5.36,91.46,8.86,8.85,95,63,30,247.11,26,Maritime,0.952,0.94,2.423,0.306,1,0.609
NAV_0042,India,Russia,6.52,4.62,66.11,6.73,9.19,98,18,27,209.06,23,Maritime,6.53,4.81,69.94,3.49,9.08,29,39,8,145.3,26,Maritime,0.998,0.96,0.885,1.439,0,0.327
NAV_0043,Japan,France,6.05,4.29,83.12,6.92,9.36,111,59,6,20.51,12,Maritime,7.3,5.35,63.52,8.68,8.69,71,61,38,175.91,64,Maritime,0.829,0.802,0.188,0.117,1,0.656
NAV_0044,UK,Japan,8.49,4.98,61.31,3.96,8.38,74,54,13,228.24,79,Maritime,8.08,4.07,91.56,7.59,6.63,46,60,31,238.92,69,Maritime,1.051,1.224,1.145,0.955,0,0.364
NAV_0045,India,Russia,8.23,4.84,65.72,5.49,9.38,105,21,19,246.79,57,Maritime,6.58,4.35,83.34,3.66,7.15,77,25,39,149.28,11,Maritime,1.251,1.113,5.182,1.653,1,0.558
NAV_0046,UK,Australia,7.19,4.46,64.26,6.86,9.26,88,53,42,52.33,68,Maritime,9.14,4.25,63.28,3.9,8.37,92,30,13,74.96,38,Maritime,0.787,1.049,1.789,0.698,1,0.64
NAV_0047,India,China,8.7,4.75,79.58,6.14,9.44,61,34,10,46.76,82,Maritime,8.58,4.17,65.6,5.86,8.85,69,57,16,154.35,82,Maritime,1.014,1.139,1.0,0.303,1,0.701
NAV_0048,Russia,France,9.5,4.04,69.35,7.02,8.97,64,16,39,50.99,103,Maritime,8.45,4.62,91.04,8.73,7.74,57,69,49,94.28,103,Maritime,1.124,0.874,1.0,0.541,1,0.683
NAV_0049,India,UK,8.16,5.08,65.36,7.81,6.83,52,53,22,148.66,30,Maritime,6.75,4.75,76.13,5.83,7.96,31,13,47,242.32,95,Maritime,1.209,1.069,0.316,0.613,0,0.416
NAV_0050,China,India,8.78,5.15,71.23,5.55,7.76,93,72,45,22.74,58,Maritime,7.58,5.21,88.53,4.87,9.2,39,10,42,276.09,96,Maritime,1.158,0.988,0.604,0.082,1,0.712
NAV_0051,UK,France,6.63,5.17,81.39,5.84,6.43,65,78,19,154.7,25,Maritime,8.11,5.28,76.66,3.98,7.28,119,56,7,127.31,64,Maritime,0.818,0.979,0.391,1.215,0,0.311
NAV_0052,Japan,China,8.18,4.75,69.8,7.7,9.08,41,71,35,55.51,105,Maritime,7.32,4.4,80.42,3.31,6.73,68,38,45,143.61,57,Maritime,1.117,1.08,1.842,0.387,0,0.469
NAV_0053,France,Japan,6.25,4.17,64.85,3.79,8.4,24,21,24,245.57,77,Maritime,8.97,4.36,89.61,3.84,6.36,65,34,36,234.9,16,Maritime,0.697,0.956,4.812,1.045,0,0.383
NAV_0054,Russia,USA,7.21,5.41,82.83,4.21,8.01,39,69,39,68.27,68,Maritime,7.3,4.79,92.11,6.14,6.97,98,21,33,265.18,111,Maritime,0.988,1.129,0.613,0.257,1,0.6
NAV_0055,France,Russia,7.42,5.38,93.93,8.27,9.21,96,63,6,146.87,51,Maritime,7.09,5.49,71.92,5.2,7.24,50,61,28,243.55,67,Maritime,1.047,0.98,0.761,0.603,0,0.322
NAV_0056,Russia,China,7.54,5.4,78.11,8.24,9.11,41,34,10,70.74,36,Maritime,8.72,4.99,64.26,4.91,8.83,82,35,48,267.12,10,Maritime,0.865,1.082,3.6,0.265,0,0.422
NAV_0057,France,China,7.61,4.98,76.7,8.6,9.02,118,17,12,189.07,49,Maritime,8.74,5.35,60.78,6.24,7.97,107,57,49,99.66,102,Maritime,0.871,0.931,0.48,1.897,1,0.508
NAV_0058,France,India,7.73,5.01,81.34,8.82,9.38,53,58,10,237.86,98,Maritime,8.37,5.15,68.59,7.22,7.79,69,39,26,197.46,60,Maritime,0.924,0.973,1.633,1.205,0,0.291
NAV_0059,India,USA,7.54,5.16,91.28,3.79,9.26,58,14,47,155.77,44,Maritime,9.27,4.38,79.72,6.79,6.39,32,28,39,107.22,52,Maritime,0.813,1.178,0.846,1.453,1,0.576
NAV_0060,Japan,Australia,8.35,4.07,80.75,4.87,6.18,73,64,13,155.32,83,Maritime,6.41,4.13,81.71,6.63,9.03,26,45,37,202.2,44,Maritime,1.303,0.985,1.886,0.768,1,0.564
NAV_0061,Japan,India,7.9,5.37,66.86,6.11,6.97,32,46,5,123.4,86,Maritime,7.8,4.18,71.61,4.01,9.09,33,34,20,177.51,23,Maritime,1.013,1.285,3.739,0.695,1,0.566
NAV_0062,USA,Japan,7.45,5.07,73.21,3.66,8.17,97,21,43,255.21,49,Maritime,7.35,4.72,76.12,5.03,7.56,40,65,35,164.34,75,Maritime,1.014,1.074,0.653,1.553,0,0.387
NAV_0063,Russia,India,7.21,4.39,75.54,5.87,7.56,43,25,40,182.67,101,Maritime,8.17,4.23,82.98,7.2,7.91,52,38,45,181.28,51,Maritime,0.882,1.038,1.98,1.008,0,0.382
NAV_0064,USA,Russia,7.52,4.87,69.83,4.49,8.29,56,15,21,79.94,54,Maritime,9.44,5.17,89.8,8.84,6.36,114,43,31,31.98,68,Maritime,0.797,0.942,0.794,2.5,0,0.26
NAV_0065,France,Australia,8.86,4.84,75.1,6.74,7.4,85,27,34,297.55,31,Maritime,7.35,4.03,83.41,7.42,8.53,118,73,5,141.19,54,Maritime,1.205,1.201,0.574,2.107,0,0.44
NAV_0066,UK,USA,8.82,4.43,88.62,3.69,8.28,117,51,46,47.34,104,Maritime,9.41,4.27,66.83,4.68,8.88,55,49,29,190.08,92,Maritime,0.937,1.037,1.13,0.249,1,0.655
NAV_0067,China,France,7.98,4.37,86.4,7.66,7.12,34,77,31,260.4,39,Maritime,7.77,4.9,70.89,4.63,6.98,92,31,11,239.67,62,Maritime,1.027,0.892,0.629,1.086,1,0.661
NAV_0068,India,UK,6.73,5.01,77.67,3.76,6.15,106,34,47,87.17,99,Maritime,6.31,4.56,91.05,3.14,6.66,93,37,10,142.41,70,Maritime,1.067,1.099,1.414,0.612,1,0.521
NAV_0069,UK,Japan,9.42,5.36,80.77,8.57,8.67,80,31,31,267.63,74,Maritime,7.86,5.41,88.72,6.03,6.65,81,12,14,200.32,43,Maritime,1.198,0.991,1.721,1.336,0,0.378
NAV_0070,China,UK,8.25,4.09,62.71,4.77,9.43,81,77,23,193.58,111,Maritime,7.77,4.37,75.96,7.08,8.29,74,40,36,162.26,76,Maritime,1.062,0.936,1.461,1.193,1,0.573
NAV_0071,USA,UK,6.17,4.16,71.55,7.87,7.25,30,14,33,297.25,108,Maritime,7.66,4.33,77.09,4.12,9.13,88,78,26,158.62,118,Maritime,0.805,0.961,0.915,1.874,0,0.267
NAV_0072,Australia,India,8.17,4.55,92.34,3.05,6.1,24,14,34,178.12,84,Maritime,7.71,4.79,72.55,8.58,7.39,119,57,6,288.12,97,Maritime,1.06,0.95,0.866,0.618,1,0.667
NAV_0073,China,Japan,7.93,4.26,71.46,5.15,8.2,35,27,35,125.01,60,Maritime,9.47,5.35,68.04,8.86,7.59,54,13,39,78.47,73,Maritime,0.837,0.796,0.822,1.593,0,0.378
NAV_0074,Russia,Australia,9.42,4.37,70.05,4.71,8.94,70,13,29,297.44,20,Maritime,7.45,4.4,80.85,8.41,6.34,119,32,27,210.41,16,Maritime,1.264,0.993,1.25,1.414,1,0.567
NAV_0075,India,USA,7.18,5.32,73.34,3.35,8.13,118,41,10,36.63,107,Maritime,8.75,5.22,63.0,6.23,8.89,97,58,44,138.11,17,Maritime,0.821,1.019,6.294,0.265,0,0.435
NAV_0076,Japan,India,6.81,5.22,72.19,5.89,7.19,45,20,28,258.05,58,Maritime,6.52,5.48,93.44,3.16,8.8,27,71,15,119.13,88,Maritime,1.044,0.953,0.659,2.166,0,0.385
NAV_0077,UK,Russia,6.45,4.75,92.28,8.01,9.3,67,31,38,38.45,18,Maritime,8.17,4.9,64.84,6.5,7.89,26,78,21,70.07,44,Maritime,0.789,0.969,0.409,0.549,0,0.311
NAV_0078,UK,Russia,6.97,5.37,82.19,6.98,8.54,119,75,6,26.74,56,Maritime,7.69,5.41,68.86,5.89,7.18,108,34,32,258.64,39,Maritime,0.906,0.993,1.436,0.103,1,0.546
NAV_0079,China,Japan,8.29,5.39,91.52,7.8,7.99,33,71,48,194.73,80,Maritime,6.42,4.58,72.72,7.75,8.0,82,53,25,157.17,88,Maritime,1.291,1.177,0.909,1.239,1,0.557
NAV_0080,Japan,France,7.4,4.14,60.37,6.69,8.78,69,54,6,293.99,38,Maritime,8.95,5.34,81.76,8.53,7.69,86,68,9,299.19,57,Maritime,0.827,0.775,0.667,0.983,1,0.609
NAV_0081,Australia,China,9.33,4.08,77.88,7.84,7.78,75,56,23,27.45,97,Maritime,8.95,4.26,84.69,7.4,7.09,82,14,12,273.67,102,Maritime,1.042,0.958,0.951,0.1,1,0.654
NAV_0082,China,USA,8.2,4.46,82.11,4.79,7.44,102,69,34,103.37,32,Maritime,7.14,5.02,64.46,6.18,7.94,83,48,31,227.1,24,Maritime,1.148,0.888,1.333,0.455,0,0.35
NAV_0083,India,USA,7.31,5.48,69.13,4.07,6.26,49,54,41,41.51,85,Maritime,8.32,4.13,66.64,5.34,8.17,46,71,38,133.06,91,Maritime,0.879,1.327,0.934,0.312,0,0.433
NAV_0084,Russia,China,7.59,4.89,67.06,6.78,8.66,81,56,31,195.42,26,Maritime,7.66,5.21,64.73,5.11,8.98,63,43,44,104.83,22,Maritime,0.991,0.939,1.182,1.864,1,0.665
NAV_0085,Japan,France,6.81,4.5,90.19,6.28,8.68,108,23,48,37.98,62,Maritime,6.8,4.59,71.79,3.28,8.71,105,65,12,129.3,56,Maritime,1.001,0.98,1.107,0.294,1,0.526
NAV_0086,Russia,UK,6.2,4.15,65.89,4.34,7.43,100,52,22,213.19,97,Maritime,8.41,5.38,88.13,4.55,9.46,93,39,18,210.7,66,Maritime,0.737,0.771,1.47,1.012,0,0.319
NAV_0087,USA,Australia,7.77,4.91,63.58,4.84,7.18,88,25,25,47.23,21,Maritime,8.64,4.92,88.27,5.79,7.62,59,59,36,32.2,102,Maritime,0.899,0.998,0.206,1.467,1,0.607
NAV_0088,UK,Australia,6.51,4.88,74.61,7.4,8.55,82,55,11,200.85,85,Maritime,8.4,4.04,62.04,5.08,8.54,41,14,11,277.6,83,Maritime,0.775,1.208,1.024,0.724,1,0.545
NAV_0089,India,China,6.64,4.28,92.33,3.93,7.53,26,69,31,263.1,69,Maritime,7.97,4.43,76.62,4.28,8.06,41,14,21,221.19,63,Maritime,0.833,0.966,1.095,1.189,1,0.641
NAV_0090,Japan,Australia,8.9,4.17,89.31,4.89,8.94,101,13,21,90.41,65,Maritime,8.95,4.67,65.33,5.27,7.23,31,32,8,193.78,103,Maritime,0.994,0.893,0.631,0.467,1,0.696
NAV_0091,India,USA,7.01,4.58,86.87,6.92,6.35,23,16,15,36.45,33,Maritime,8.73,4.51,69.69,8.92,6.21,53,41,7,27.5,102,Maritime,0.803,1.016,0.324,1.325,0,0.348
NAV_0092,India,France,8.26,4.36,93.96,4.56,6.57,94,52,19,46.41,100,Maritime,8.27,4.19,77.77,8.24,6.04,77,40,28,272.7,91,Maritime,0.999,1.041,1.099,0.17,1,0.699
NAV_0093,Japan,China,9.01,5.13,92.66,3.79,8.04,81,18,35,291.08,67,Maritime,6.65,5.32,84.61,8.2,9.16,56,27,10,62.35,30,Maritime,1.355,0.964,2.233,4.668,1,0.688
NAV_0094,France,UK,7.28,5.46,91.37,5.75,7.35,116,29,7,71.45,82,Maritime,7.81,4.06,92.03,8.49,8.77,90,18,42,90.02,89,Maritime,0.932,1.345,0.921,0.794,1,0.594
NAV_0095,China,UK,7.45,4.09,67.54,8.13,7.03,35,68,26,268.4,25,Maritime,7.41,5.02,63.83,4.31,9.22,95,57,35,260.87,34,Maritime,1.005,0.815,0.735,1.029,0,0.488
NAV_0096,USA,UK,8.05,4.87,82.51,8.83,8.6,71,10,11,79.49,58,Maritime,6.5,5.28,66.19,4.52,6.31,75,55,26,100.49,30,Maritime,1.238,0.922,1.933,0.791,1,0.647
NAV_0097,France,USA,9.1,5.01,84.87,7.07,8.69,87,58,22,264.03,54,Maritime,8.81,4.79,90.11,8.54,6.22,37,45,39,143.33,118,Maritime,1.033,1.046,0.458,1.842,0,0.384
NAV_0098,UK,Japan,9.29,5.37,73.63,7.34,8.31,22,69,36,263.19,59,Maritime,8.79,4.65,68.81,6.13,6.35,77,73,48,197.73,43,Maritime,1.057,1.155,1.372,1.331,1,0.51
NAV_0099,China,USA,7.51,4.89,72.21,5.96,7.75,72,34,19,170.66,69,Maritime,6.83,4.61,91.08,4.93,7.4,25,36,9,209.96,37,Maritime,1.1,1.061,1.865,0.813,1,0.652
NAV_0100,Japan,Russia,8.85,4.01,83.32,5.72,9.23,87,57,22,290.96,35,Maritime,9.33,4.57,64.04,8.01,6.57,75,67,29,295.52,32,Maritime,0.949,0.877,1.094,0.985,1,0.547
NAV_0101,Japan,UK,8.4,5.38,94.38,5.54,6.98,33,73,47,244.54,34,Maritime,7.46,4.15,79.77,6.73,6.46,94,68,34,22.38,65,Maritime,1.126,1.296,0.523,10.927,0,0.443
NAV_0102,Australia,UK,8.92,4.97,92.13,5.75,8.74,72,36,20,135.58,61,Maritime,8.68,4.34,90.0,6.05,7.04,74,76,30,251.77,65,Maritime,1.028,1.145,0.938,0.539,1,0.554
NAV_0103,China,UK,8.98,4.62,63.13,6.8,7.89,30,28,35,66.63,94,Maritime,7.1,4.68,68.36,8.15,7.53,59,70,7,112.54,104,Maritime,1.265,0.987,0.904,0.592,0,0.372
NAV_0104,China,Japan,6.36,4.25,79.39,6.82,8.38,30,67,11,260.22,117,Maritime,7.66,4.47,72.85,8.35,7.75,51,44,8,258.82,102,Maritime,0.83,0.951,1.147,1.005,1,0.584
NAV_0105,Australia,Russia,8.7,4.73,78.59,6.68,7.22,96,32,48,214.71,14,Maritime,8.24,5.36,81.84,6.36,7.66,98,76,41,205.49,76,Maritime,1.056,0.882,0.184,1.045,1,0.668
NAV_0106,USA,UK,9.44,4.36,74.41,8.57,9.32,91,33,17,294.22,98,Maritime,6.36,4.64,75.65,4.72,6.22,107,22,9,35.45,31,Maritime,1.484,0.94,3.161,8.3,1,0.673
NAV_0107,Australia,UK,7.12,4.97,89.47,7.2,7.44,118,30,25,298.4,37,Maritime,9.47,5.06,67.23,3.34,8.33,34,57,21,268.17,55,Maritime,0.752,0.982,0.673,1.113,0,0.458
NAV_0108,Russia,France,8.85,4.23,83.22,8.21,7.64,25,77,8,156.48,97,Maritime,6.24,4.86,81.34,3.26,7.04,28,72,20,146.04,95,Maritime,1.418,0.87,1.021,1.071,1,0.546
NAV_0109,Japan,UK,6.51,5.13,71.04,6.99,9.19,92,72,21,174.89,95,Maritime,7.49,4.22,74.24,7.37,7.08,48,59,16,148.05,18,Maritime,0.869,1.216,5.278,1.181,0,0.35
NAV_0110,India,UK,8.43,4.72,92.38,7.84,6.86,52,17,10,130.12,49,Maritime,6.5,4.03,65.43,4.47,6.07,118,14,16,104.22,67,Maritime,1.297,1.171,0.731,1.249,1,0.68
NAV_0111,Australia,India,8.41,4.89,78.64,7.32,7.4,27,57,43,182.75,39,Maritime,8.41,4.76,88.0,5.64,8.58,94,26,47,219.0,16,Maritime,1.0,1.027,2.438,0.834,1,0.583
NAV_0112,India,Japan,6.41,4.78,76.74,7.64,9.07,48,63,24,182.95,71,Maritime,8.8,4.74,93.62,5.06,7.47,94,66,16,152.07,114,Maritime,0.728,1.008,0.623,1.203,0,0.455
NAV_0113,UK,Australia,8.36,4.16,68.77,6.81,7.23,34,44,35,244.69,16,Maritime,6.42,4.42,90.44,7.48,7.54,104,45,12,295.79,61,Maritime,1.302,0.941,0.262,0.827,1,0.685
NAV_0114,UK,USA,6.66,4.07,94.06,6.8,9.1,38,24,27,146.5,111,Maritime,7.12,4.54,94.49,6.58,7.05,115,18,25,167.25,12,Maritime,0.935,0.896,9.25,0.876,0,0.47
NAV_0115,China,USA,6.08,5.18,86.15,5.54,8.1,28,37,24,187.08,74,Maritime,7.8,5.15,94.81,3.85,8.0,42,42,9,225.17,81,Maritime,0.779,1.006,0.914,0.831,0,0.342
NAV_0116,China,Japan,8.41,4.58,81.07,6.32,6.97,22,70,41,287.37,36,Maritime,6.11,5.46,83.32,3.66,8.76,72,48,5,151.25,55,Maritime,1.376,0.839,0.655,1.9,0,0.469
NAV_0117,UK,China,8.39,4.38,89.87,6.59,7.6,82,66,47,62.98,47,Maritime,7.74,5.1,93.6,6.6,6.37,46,74,40,135.86,29,Maritime,1.084,0.859,1.621,0.464,1,0.603
NAV_0118,Russia,USA,6.15,4.75,83.91,8.7,8.0,51,68,22,231.94,56,Maritime,8.06,5.23,75.88,5.96,7.97,87,69,28,262.9,29,Maritime,0.763,0.908,1.931,0.882,0,0.296
NAV_0119,India,Russia,8.86,4.82,68.74,8.44,9.31,119,43,48,71.42,59,Maritime,6.96,4.49,65.75,7.66,6.44,94,42,35,288.29,110,Maritime,1.273,1.073,0.536,0.248,1,0.7
NAV_0120,India,Russia,6.15,4.07,64.2,5.45,9.39,83,62,18,32.02,54,Maritime,7.85,5.26,83.87,7.03,6.86,56,11,14,68.08,83,Maritime,0.783,0.774,0.651,0.47,0,0.427
NAV_0121,Australia,India,7.95,4.87,77.36,7.81,6.88,78,16,13,239.0,24,Maritime,8.61,4.86,85.53,4.99,6.9,115,47,39,103.76,10,Maritime,0.923,1.002,2.4,2.303,0,0.364
NAV_0122,China,India,8.07,5.49,63.24,8.47,9.23,71,79,48,169.46,76,Maritime,6.41,5.0,85.19,4.14,9.07,59,56,44,54.79,54,Maritime,1.259,1.098,1.407,3.093,0,0.483
NAV_0123,China,Japan,9.33,5.3,69.69,4.73,6.29,93,26,49,217.37,10,Maritime,6.75,4.48,73.7,6.02,6.5,39,55,46,147.35,41,Maritime,1.382,1.183,0.244,1.475,1,0.669
